executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
13,29125,36,27,false,59,0.7035068435421206,0.9631637796011959,99,true,54,435,17,1.6140281955065692,0.35803156331982955,35,lz4,98,68,true,22,22,352,216,6,false,true,true,false,org.apache.spark.serializer.KryoSerializer,105.181
13,36273,36,26,false,16,0.6505202169750012,0.7378193050729114,20,false,96,123,48,1.211563411722722,0.30477757108901593,86,lz4,95,75,false,124,85,476,455,5,false,false,false,true,org.apache.spark.serializer.JavaSerializer,71.26100000000001
4,30385,30,42,true,40,0.7860548690550722,0.7875776076730823,50,false,52,566,55,2.3023630723362842,0.17873125624045505,127,lz4,91,11,true,24,49,488,258,4,true,false,false,true,org.apache.spark.serializer.JavaSerializer,72.14
9,36847,26,33,false,27,0.6726492477108632,0.7389581280209333,76,true,119,994,49,4.341445802620516,0.3202888330260817,55,lz4,76,3,false,64,83,425,94,7,true,true,true,true,org.apache.spark.serializer.JavaSerializer,75.795
11,33702,18,18,false,98,0.92576389078951,0.9985596059280446,39,true,34,944,50,1.2661341254915324,0.16432360724484174,45,lzf,80,56,true,73,4,281,26,7,false,false,false,true,org.apache.spark.serializer.KryoSerializer,60.068999999999996
2,30525,27,33,true,20,0.9944553276577692,0.9093308267468044,118,true,42,589,92,3.9985042703228806,0.9202047269962276,69,lzf,113,42,false,67,81,259,486,10,false,false,false,true,org.apache.spark.serializer.JavaSerializer,63.475
6,31332,21,19,true,52,0.733020919371006,0.9316377329728008,68,true,3,242,22,3.609221959338032,0.5774545768573861,97,lz4,120,28,true,99,93,425,414,6,false,true,false,true,org.apache.spark.serializer.KryoSerializer,42.83
9,38677,19,36,true,65,0.7601240617756111,0.7902629009983524,50,true,78,340,60,4.7359308149710255,0.3335896294501213,16,lz4,81,51,false,31,118,247,253,4,true,false,false,true,org.apache.spark.serializer.JavaSerializer,65.346
6,36960,48,27,true,82,0.6931057787612839,0.9230117996958912,14,false,88,182,41,3.2686380565617204,0.4003573909824311,111,lz4,124,114,false,16,73,311,111,8,true,false,true,false,org.apache.spark.serializer.JavaSerializer,63.438
10,29543,31,10,true,13,0.618785745293304,0.8306278769733296,18,true,34,792,22,4.0735735610702575,0.4775780434845541,80,lz4,71,108,false,37,80,163,469,10,true,true,true,true,org.apache.spark.serializer.JavaSerializer,69.501
16,32409,21,32,true,92,0.7292740623267231,0.9897277629871496,13,false,120,709,85,2.6787849405889927,0.8116870277095601,69,lzf,116,25,true,118,71,102,73,5,true,true,true,false,org.apache.spark.serializer.JavaSerializer,50.347
3,41079,9,10,false,92,0.7411054740010078,0.7140443914849736,54,false,56,998,83,3.310032837331579,0.6474524010461262,121,lz4,69,98,false,32,95,480,348,8,false,true,true,true,org.apache.spark.serializer.KryoSerializer,68.457
15,30490,17,12,true,39,0.8856214724977607,0.8845461764666275,47,true,25,488,26,2.2497017785394715,0.5297747342747079,53,lz4,95,77,true,101,49,332,260,2,false,false,true,false,org.apache.spark.serializer.JavaSerializer,43.434
14,41819,41,29,true,22,0.8413721556690993,0.6880528811576472,120,false,122,756,20,2.1735918886142858,0.31315966617622826,52,lz4,73,14,true,38,30,206,473,6,true,true,false,true,org.apache.spark.serializer.KryoSerializer,76.898
3,30867,22,36,false,96,0.8618093481434104,0.8181506573603773,73,false,20,517,23,2.518958312493925,0.42878523586935857,32,lz4,84,34,true,47,78,97,397,6,true,false,true,true,org.apache.spark.serializer.KryoSerializer,68.064
3,42653,40,13,true,34,0.7967819177735566,0.643738913481705,31,true,75,422,39,1.2456937076808965,0.234370159766515,59,lz4,124,85,false,75,113,150,46,3,false,true,true,true,org.apache.spark.serializer.JavaSerializer,59.214
8,28299,43,13,true,72,0.8819384301722717,0.8022374006969473,24,true,105,666,60,4.97172908390165,0.5072199321211908,83,lz4,81,36,false,114,125,418,288,10,true,true,true,true,org.apache.spark.serializer.KryoSerializer,68.065
15,43748,43,25,true,40,0.7131318285830408,0.8395189118050628,123,false,97,562,41,1.555796616137512,0.8255210503650119,72,lz4,88,113,true,113,7,464,293,2,false,true,true,false,org.apache.spark.serializer.JavaSerializer,69.325
12,36285,23,29,true,28,0.7425020920911101,0.8900411700559899,125,false,42,785,82,4.1947824209768685,0.22568290229992435,66,lz4,68,103,false,24,23,295,90,7,false,true,true,false,org.apache.spark.serializer.KryoSerializer,59.773999999999994
8,41666,24,37,true,56,0.9763176602768572,0.8667243358534558,72,false,89,600,45,2.7990525092530905,0.3942280765607112,117,lzf,123,53,true,36,110,453,269,10,false,false,true,false,org.apache.spark.serializer.JavaSerializer,67.172
